"ZIP CODE","BOROUGH","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","count"
NULL,NULL,"BELT PARKWAY",NULL,NULL,1306
NULL,NULL,"BROOKLYN QUEENS EXPRESSWAY",NULL,NULL,707
NULL,NULL,"LONG ISLAND EXPRESSWAY",NULL,NULL,689
NULL,NULL,"FDR DRIVE",NULL,NULL,619
NULL,NULL,"GRAND CENTRAL PKWY",NULL,NULL,588
NULL,NULL,"CROSS BRONX EXPY",NULL,NULL,505
NULL,NULL,"MAJOR DEEGAN EXPRESSWAY",NULL,NULL,497
NULL,NULL,"BELT PARKWAY                    ",NULL,NULL,468
NULL,NULL,"CROSS ISLAND PARKWAY",NULL,NULL,445
NULL,NULL,"VAN WYCK EXPWY",NULL,NULL,405
NULL,NULL,"HENRY HUDSON PARKWAY",NULL,NULL,342
NULL,NULL,"STATEN ISLAND EXPRESSWAY",NULL,NULL,313
NULL,NULL,"BRUCKNER EXPRESSWAY",NULL,NULL,307
NULL,NULL,"LONG ISLAND EXPRESSWAY          ",NULL,NULL,271
NULL,NULL,"BRONX RIVER PARKWAY",NULL,NULL,271
NULL,NULL,"BROADWAY",NULL,NULL,252
NULL,NULL,"FDR DRIVE                       ",NULL,NULL,234
NULL,NULL,"JACKIE ROBINSON PKWY",NULL,NULL,224
NULL,NULL,"TRIBOROUGH BRIDGE",NULL,NULL,218
NULL,NULL,"ATLANTIC AVENUE",NULL,NULL,214
NULL,NULL,"BROOKLYN QUEENS EXPRESSWAY      ",NULL,NULL,210
NULL,NULL,"CROSS BRONX EXPY                ",NULL,NULL,208
NULL,NULL,"GRAND CENTRAL PKWY              ",NULL,NULL,205
NULL,NULL,"MAJOR DEEGAN EXPRESSWAY         ",NULL,NULL,190
NULL,NULL,"VERRAZANO BRIDGE UPPER",NULL,NULL,181
NULL,NULL,"HUTCHINSON RIVER PARKWAY",NULL,NULL,177
NULL,NULL,"BRONX WHITESTONE BRIDGE",NULL,NULL,171
NULL,NULL,"VAN WYCK EXPWY                  ",NULL,NULL,168
NULL,NULL,"CROSS ISLAND PARKWAY            ",NULL,NULL,161
NULL,NULL,"HARLEM RIVER DRIVE",NULL,NULL,147
NULL,NULL,"WHITESTONE EXPRESSWAY",NULL,NULL,138
NULL,NULL,"EASTERN PARKWAY",NULL,NULL,134
NULL,NULL,"NOSTRAND AVENUE",NULL,NULL,116
NULL,NULL,"BEDFORD AVENUE",NULL,NULL,116
NULL,NULL,"GOWANUS EXPY (BQE)",NULL,NULL,114
NULL,NULL,"BRUCKNER EXPRESSWAY             ",NULL,NULL,113
NULL,NULL,"AMSTERDAM AVENUE",NULL,NULL,112
NULL,NULL,"THROGS NECK BRIDGE",NULL,NULL,107
NULL,NULL,"BUSHWICK AVENUE",NULL,NULL,106
NULL,NULL,"VERRAZANO BRIDGE LOWER",NULL,NULL,102
NULL,NULL,"FULTON STREET",NULL,NULL,99
NULL,NULL,"MYRTLE AVENUE",NULL,NULL,96
NULL,NULL,"STATEN ISLAND EXPRESSWAY        ",NULL,NULL,93
NULL,NULL,"CLEARVIEW EXPRESSWAY",NULL,NULL,88
NULL,NULL,"BROOKLYN BRIDGE",NULL,NULL,87
NULL,NULL,"LAURELTON PARKWAY",NULL,NULL,86
NULL,NULL,"HENRY HUDSON PARKWAY            ",NULL,NULL,86
NULL,NULL,"WEST SHORE EXPRESSWAY",NULL,NULL,85
NULL,NULL,"BRONX RIVER PARKWAY             ",NULL,NULL,81
NULL,NULL,"QUEENS MIDTOWN TUNNEL",NULL,NULL,80
NULL,NULL,"UTICA AVENUE",NULL,NULL,79
NULL,NULL,"3 AVENUE",NULL,NULL,79
NULL,NULL,"BROADWAY                        ",NULL,NULL,78
NULL,NULL,"JEROME AVENUE",NULL,NULL,78
NULL,NULL,"LINDEN BOULEVARD",NULL,NULL,78
NULL,NULL,"JACKIE ROBINSON PKWY            ",NULL,NULL,77
NULL,NULL,"FLATBUSH AVENUE",NULL,NULL,77
NULL,NULL,"7 AVENUE",NULL,NULL,77
NULL,NULL,"PARK AVENUE",NULL,NULL,76
NULL,NULL,"WEBSTER AVENUE",NULL,NULL,76
NULL,NULL,"NORTHERN BOULEVARD",NULL,NULL,76
NULL,NULL,"2 AVENUE",NULL,NULL,72
NULL,NULL,"GRAND CONCOURSE",NULL,NULL,72
NULL,NULL,"MAJOR DEEGAN EXPRESSWAY RAMP",NULL,NULL,70
NULL,NULL,"8 AVENUE",NULL,NULL,69
NULL,NULL,"GOWANUS RAMP",NULL,NULL,68
NULL,NULL,"BROOKLYN QUEENS EXPRESSWAY RAMP",NULL,NULL,67
NULL,NULL,"NEW ENGLAND THRUWAY",NULL,NULL,65
NULL,NULL,"ATLANTIC AVENUE                 ",NULL,NULL,61
NULL,NULL,"5 AVENUE",NULL,NULL,60
NULL,NULL,"VERRAZANO BRIDGE UPPER          ",NULL,NULL,60
NULL,NULL,"WEST 125 STREET",NULL,NULL,56
NULL,NULL,"WILLIAMSBURG BRIDGE OUTER ROADWA",NULL,NULL,56
NULL,NULL,"HUTCHINSON RIVER PARKWAY        ",NULL,NULL,54
NULL,NULL,"SAINT NICHOLAS AVENUE",NULL,NULL,54
NULL,NULL,"1 AVENUE",NULL,NULL,54
NULL,NULL,"HARLEM RIVER DRIVE              ",NULL,NULL,54
NULL,NULL,"LIBERTY AVENUE",NULL,NULL,53
NULL,NULL,"NEPTUNE AVENUE",NULL,NULL,53
NULL,NULL,"NASSAU EXPRESSWAY",NULL,NULL,51
NULL,NULL,"WEST 145 STREET",NULL,NULL,50
NULL,NULL,"BRONX RIVER PARKWAY RAMP",NULL,NULL,49
NULL,NULL,"NEW YORK AVENUE",NULL,NULL,48
NULL,NULL,"TRIBOROUGH BRIDGE               ",NULL,NULL,48
NULL,NULL,"FRANKLIN AVENUE",NULL,NULL,48
NULL,NULL,"KNICKERBOCKER AVENUE",NULL,NULL,48
NULL,NULL,"NOSTRAND AVENUE                 ",NULL,NULL,47
NULL,NULL,"UNIVERSITY AVENUE",NULL,NULL,47
NULL,NULL,"MAJOR DEEGAN EXPRESSWAY RAMP    ",NULL,NULL,47
